Atom Type,a,b,c
Mn,0.0,0.0,0.0
Mn,0.5,0.5,0.5
Al,0.314821805,0.5,0.804883835
Al,0.185178195,0.0,0.695116165
Al,0.314821805,0.5,0.19511616499999995
Al,0.185178195,0.0,0.30488383500000005
Al,0.5,0.804883835,0.314821805
Al,0.0,0.695116165,0.185178195
Al,0.5,0.19511616499999995,0.314821805
Al,0.0,0.30488383500000005,0.185178195
Al,0.804883835,0.314821805,0.5
Al,0.695116165,0.185178195,0.0
Al,0.19511616499999995,0.314821805,0.5
Al,0.30488383500000005,0.185178195,0.0
Al,0.814821805,0.0,0.30488383500000005
Al,0.685178195,0.5,0.19511616499999995
Al,0.814821805,0.0,0.695116165
Al,0.685178195,0.5,0.804883835
Al,0.0,0.30488383500000005,0.814821805
Al,0.5,0.19511616499999995,0.685178195
Al,0.0,0.695116165,0.814821805
Al,0.5,0.804883835,0.685178195
Al,0.30488383500000005,0.814821805,0.0
Al,0.19511616499999995,0.685178195,0.5
Al,0.695116165,0.814821805,0.0
Al,0.804883835,0.685178195,0.5
